"Big day at the United Nations - many good things, and some tricky ones, happening. We have a great team. Big speech at 10:00 A․M․","910101538336583680","2017-09-19 11:21:30"
"Important meetings and calls scheduled for today. Military and economy are getting stronger by the day, and our enemies know it. #MAGA","909401572341370881","2017-09-17 13:00:05"
"I spoke with President Moon of South Korea last night. Asked him how Rocket Man is doing. Long gas lines forming in North Korea. Too bad!","909384837018112000","2017-09-17 11:53:35"
"Attorney General Bill Schuette will be a fantastic Governor for the great State of Michigan. I am bringing back your jobs and Bill will help","909381488445190145","2017-09-17 11:40:16"
"I will be in Huntsville, Alabama, on Saturday night to support Luther Strange for Senate. ""Big Luther"" is a great guy who gets things done!","909191177810915328","2017-09-16 23:04:03"
"A great deal of good things happening for our country. Jobs and Stock Market at all time highs, and I believe will be getting even better!","909185223887347712","2017-09-16 22:40:23"
"CHAIN MIGRATION cannot be allowed to be part of any legislation on Immigration!","908676979561570304","2017-09-15 13:00:48"
"ESPN is paying a really big price for its politics (and bad programming). People are dumping it in RECORD numbers. Apologize for untruth!","908651641943003136","2017-09-15 11:20:08"
"We have made more progress in the last nine months against ISIS than the Obama Administration has made in 8 years.Must be proactive & nasty!","908646582807089152","2017-09-15 11:00:01"
"The travel ban into the United States should be far larger, tougher and more specific-but stupidly, that would not be politically correct!","908645126146265090","2017-09-15 10:54:14"
"Loser terrorists must be dealt with in a much tougher manner.The internet is their main recruitment tool which we must cut off & use better!","908643633901039617","2017-09-15 10:48:18"
"Another attack in London by a loser terrorist.These are sick and demented people who were in the sights of Scotland Yard. Must be proactive!","908642277987356673","2017-09-15 10:42:55"
"With the ridiculous Filibuster Rule in the Senate, Republicans need 60 votes to pass legislation, rather than 51. Can't get votes, END NOW!","908640949605163010","2017-09-15 10:37:38"
"Bernie Sanders is pushing hard for a single payer healthcare plan - a curse on the U․S․ & its people I told Republicans to approve healthcare fast or this would happen. But don't worry, I will veto because I love our country & its people.","",""
"Spoke to President of Mexico to give condolences on terrible earthquake. Unable to reach for 3 days b/c of his cell phone reception at site.","908409572943126528","2017-09-14 19:18:14"
"Just left Florida for D․C․. The people and spirit in THAT GREAT STATE is unbelievable. Damage horrific but will be better than ever!","908406085308096512","2017-09-14 19:04:22"
"Am leaving now for Florida to see our GREAT first responders and to thank the U․S․. Coast Guard, FEMA etc. A real disaster, much work to do!","908285679335034880","2017-09-14 11:05:55"
"Does anybody really want to throw out good, educated and accomplished young people who have jobs, some serving in the military? Really! They have been in our country for many years through no fault of their own - brought in by parents at young age. Plus BIG border security","",""
"The WALL, which is already under construction in the form of new renovation of old and existing fences and walls, will continue to be built.","908274366739345409","2017-09-14 10:20:58"
"No deal was made last night on DACA. Massive border security would have to be agreed to in exchange for consent. Would be subject to vote.","908272007011282944","2017-09-14 10:11:36"
"The ""deplorables"" came back to haunt Hillary.They expressed their feelings loud and clear. She spent big money but, in the end, had no game!","908161523180285953","2017-09-14 02:52:34"
"Crooked Hillary Clinton blames everybody (and every thing) but herself for her election loss. She lost the debates and lost her direction!","908160218995068928","2017-09-14 02:47:23"
"China has a business tax rate of 15%. We should do everything possible to match them in order to win with our economy. Jobs and wages!","908154067658174469","2017-09-14 02:22:57"
"With Irma and Harvey devastation, Tax Cuts and Tax Reform is needed more than ever before. Go Congress, go!","907946177022369792","2017-09-13 12:36:52"
"I will be traveling to Florida tomorrow to meet with our great Coast Guard, FEMA and many of the brave first responders & others.","907930425657626624","2017-09-13 11:34:16"
"The approval process for the biggest Tax Cut & Tax Reform package in the history of our country will soon begin. Move fast Congress!","907928888587808768","2017-09-13 11:28:10"
"The devastation left by Hurricane Irma was far greater, at least in certain locations,than anyone thought - but amazing people working hard!","907592460070768641","2017-09-12 13:11:19"
